User,Latitude,Longitude, Light,Accuracy,Pitch,Azimuth,xForce,yForce,zForce,Time,xMagnitude,yMagnitude,zMagnitude,Roll
16,40.72852712,-73.99686813,135,3,-0.033058339,2.057692146,0.046253815,0.33650026,9.906999,1413157979.4780,-24,-14.099991,-45,-0.004376294
17,40.7417467,-73.99342143,135,3,-0.040237153,2.048172283,0.022453308,0.40655458,9.793834,1413157981.4730,-23.699997,-14.099991,-44.699997,0.001405233
18,40.73419338,-74.00416353,135,3,-0.042338337,2.062971449,-0.06795868,0.41463774,9.869427,1413158161.0120,-23.09999,-14.399994,-43.799988,0.006559845
19,40.74251159,-74.00603056,135,3,-0.023018785,2.08321476,0.121846616,0.2230362,9.831855,1413158163.0510,-23.699997,-14.099991,-45.299988,-0.011128847
20,33.83160405,-118.2978056,135,3,-0.042060271,2.000191236,-0.0291893,0.41388932,9.755663,1413158165.0210,-24,-12.899994,-44.09999,0.002346687
21,33.83200795,-118.297319,135,3,-0.034352035,2.044983435,-0.059426423,0.36015105,9.845776,1413158167.0570,-23.699997,-13.799988,-44.399994,0.004701277
22,33.83214646,-118.2794416,135,3,-0.032164077,2.027119017,0.041463777,0.30117372,9.829908,1413158169.0930,-24,-13.199997,-43.799988,0.000256978
23,33.83228014,-118.2795382,135,3,-0.034697953,2.008765984,0.017064514,0.29428804,9.818233,1413158171.1240,-23.699997,-12.599991,-44.699997,-0.002928463
24,33.83178786,-118.2894022,135,3,-0.036123773,1.999731374,0.007634125,0.375569,9.907746,1413158173.1320,-24.59999,-12.899994,-44.09999,0.00215742
25,33.83117768,-118.2883451,135,3,-0.035041048,2.011269045,0.007634125,0.33769774,9.605375,1413158175.5110,-23.399994,-12.599991,-44.699997,-0.000173901
26,33.86465118,-118.255336,135,3,-0.038454843,2.017429686,-0.06795868,0.37631744,9.869427,1413158177.5460,-23.09999,-12.899994,-44.09999,0.006547704
27,33.86459545,-118.2614708,135,3,-0.034619386,2.062786007,0.008382568,0.33784744,9.793385,1413158179.5630,-24.59999,-14.699997,-44.09999,-0.000855821
28,33.86433997,-118.2610846,135,3,-0.041681468,1.99716804,-0.015567627,0.436642,9.900262,1413158181.5730,-26.09999,-13.799988,-44.09999,0.004978953
29,33.87202958,-118.2669474,135,3,-0.039029721,2.075559521,0.048499145,0.34293687,9.976005,1413158183.6390,-23.699997,-14.699997,-44.699997,-0.006370965
30,33.86548954,-118.2785956,135,3,-0.042602821,1.970214319,-0.029638367,0.41463774,9.794283,1413158185.7030,-25.199997,-12.599991,-44.699997,0.002681619
31,34.0430231,-118.2671571,135,3,-0.037918873,2.032407141,0.008232879,0.37571868,9.869876,1413158187.7310,-23.699997,-13.5,-45.299988,-0.000773427
32,34.04728825,-118.2623153,135,3,-0.035844963,2.025494957,-0.10298584,0.33949402,9.835148,1413158189.8170,-24,-13.5,-44.699997,0.007479062
33,34.04786057,-118.2617291,135,3,-0.026846259,2.045064783,0.084873505,0.2945874,9.886191,1413158191.8500,-23.699997,-13.5,-43.5,-0.013455065
34,34.05244324,-118.2636381,135,3,-0.020512657,2.195105982,0.029788055,0.3980223,9.884545,1413158193.9150,-21.899994,-16.5,-42.299988,-0.005723346
35,34.05142586,-118.2640681,135,3,-0.034157952,2.128597593,0.008981323,0.36015105,9.870324,1413158195.9670,-23.09999,-15.899994,-44.09999,-0.001031278
36,34.05091869,-118.4109387,160,3,-0.037347502,2.171500492,0.008382568,0.33784744,9.869726,1413158197.9910,-21.899994,-16.5,-45,-0.000820189
37,34.05152161,-118.4110951,160,3,-0.03608936,2.143290472,-0.068258055,0.33949402,9.795032,1413158200.0150,-22.799988,-16.5,-44.399994,0.006945909
38,34.04375743,-118.421707,160,3,-0.037568691,2.149032354,0.006735993,0.3412903,9.833351,1413158202.0300,-23.09999,-16.799988,-45,0.000759873
39,34.04083306,-118.426042,160,3,-0.034328847,2.179736376,0.008382568,0.33799714,9.945767,1413158204.0240,-21.899994,-16.799988,-45,-0.000855399
40,34.02717451,-118.4548427,160,3,-0.037843399,2.117106915,0.045954436,0.37601808,9.945318,1413158206.0900,-23.09999,-15.599991,-43.5,-0.004009466
41,34.03002165,-118.4676396,160,3,-0.0379632,2.103164339,-0.028889922,0.37601808,9.907746,1413158208.1340,-22.5,-15,-44.399994,0.00194911
42,34.03011033,-118.4551926,160,3,-0.25935474,2.083348608,0.51013917,2.9443772,11.097772,1413158210.1530,-34.5,-29.09999,-36.299988,-0.048572156
43,34.02964532,-118.4586598,160,3,-0.80893656,2.207866955,-1.9467018,7.276668,6.9157686,1413158212.9970,-17.09999,-46.199997,-26.699997,0.283081645
44,34.01727346,-118.4475088,160,3,-0.826411963,2.331014967,-1.5636483,7.046297,7.8977265,1413158215.0180,-20.09999,-51,-19.199997,0.178201586
45,34.02936727,-118.4114486,225,3,-0.718366051,1.889777732,0.42496628,6.202951,7.1874537,1413158217.0540,-26.09999,-39.899994,-32.699997,-0.031175636
46,34.02784937,-118.3937375,225,3,-0.645480549,1.802340555,0.20627105,5.9377027,7.896679,1413158219.0960,-29.09999,-35.699997,-35.699997,-0.020561333
47,34.06165847,-118.2930836,160,3,-0.777975929,2.186009073,1.0388397,7.163653,7.22757,1413158221.0950,-25.5,-47.399994,-22.5,-0.137775794
48,34.0576885,-118.3021411,160,3,-0.951558208,2.051526785,0.7747888,8.00191,5.654192,1413158223.1420,-26.699997,-51.299988,-17.699997,-0.136243713
49,34.05786943,-118.3010091,160,3,-0.788210809,2.112598705,0.7966434,7.1729336,6.9326835,1413158225.1740,-29.09999,-48.299988,-22.5,-0.108676736
50,34.0472223,-118.2997454,160,3,-0.800434327,1.9966609,1.9243982,7.1980815,6.727161,1413158227.2280,-31.799988,-45,-19.799988,-0.278757161
51,34.03007813,-118.4673142,160,3,-0.893579149,1.996485758,1.2593312,7.6929526,6.2050467,1413158229.2500,-30,-47.699997,-18,-0.180217052
52,34.05276912,-118.257312,160,3,-0.958829284,2.017459488,0.891546,8.26656,5.6947575,1413158231.2660,-27.899994,-49.5,-15.899994,-0.157380331
53,34.04889036,-118.2609129,160,3,-0.914190197,2.081215429,0.63842237,7.725734,5.893544,1413158233.2890,-25.5,-48.299988,-18,-0.111619274
54,34.01727346,-118.4475088,160,3,-0.744600105,2.049917793,0.17318985,6.7594934,7.2590046,1413158235.3130,-24.899994,-42.899994,-27.899994,-0.034367119
55,34.03360312,-118.4493139,225,3,-0.678443444,2.008403969,0.32287857,6.1619363,7.577093,1413158237.3690,-27.299988,-40.5,-29.699997,-0.050809098
56,34.03438105,-118.4488093,225,3,-0.733198845,1.987866473,0.6737489,6.6228275,7.2893915,1413158239.3960,-27.899994,-42.59999,-28.199997,-0.08673562
57,34.0372211,-118.4418917,160,3,-0.793890917,1.839639759,0.40820113,6.9623218,6.8811903,1413158241.4500,-31.5,-41.699997,-27.59999,-0.062535375
58,34.03872126,-118.4394311,160,3,-0.034939634,2.073556376,0.081580356,0.37257522,9.936038,1413158243.4840,-24.59999,-15,-45.59999,-0.005129316
59,34.03955952,-118.4397476,160,3,-0.034230838,2.051643038,0.047451325,0.33769774,9.869427,1413158245.5200,-25.5,-14.699997,-44.09999,-0.0054528
60,34.0437771,-118.4313235,160,3,-0.028071358,2.038556862,0.008831634,0.28590545,9.793834,1413158247.5220,-25.199997,-13.799988,-45,-0.000862625
61,34.0581527,-118.4147429,160,3,-0.029615659,2.069712687,0.16016693,0.298629,9.870174,1413158249.5370,-25.199997,-14.699997,-44.399994,-0.014966284
62,34.05771938,-118.4129606,160,3,-0.034201307,1.97959466,0.008681945,0.33769774,9.870174,1413158251.5840,-24.899994,-12.299988,-44.699997,-0.001212689
63,34.05905107,-118.4107355,160,3,-0.036183023,1.978645587,-0.029638367,0.34608033,9.832154,1413158253.5970,-24.59999,-12.299988,-44.399994,0.003099286
64,34.05601251,-118.3759292,160,3,-0.030342095,1.964393377,-0.043409728,0.2998265,9.8784075,1413158255.6770,-25.5,-12,-43.799988,0.004394377
65,34.06007202,-118.3627867,160,3,-0.030477801,1.985569406,0.008681945,0.2996768,9.945767,1413158257.6710,-24.899994,-12.299988,-44.399994,-0.001205085
66,34.05771527,-118.3633003,160,3,-0.030488971,1.978486061,-0.033380583,0.29937744,9.795032,1413158300.1480,-24.299988,-12,-45.299988,0.00633766
67,39.87727093,-75.24167061,160,3,-0.028900291,1.949295449,0.000598755,0.29159364,9.785451,1413158302.1700,-24.899994,-11.399994,-44.399994,0.001162244
68,38.13970423,-78.44993998,110,3,-0.036287089,1.974705291,0.044906616,0.3411406,9.833351,1413158304.1940,-25.5,-12.899994,-44.09999,-0.002758255
69,38.12689915,-78.4438334,110,3,-0.036183912,1.959539294,-0.007484436,0.34593064,9.815688,1413158306.2670,-25.199997,-12,-44.699997,0.003107644
70,38.12726292,-78.44341238,110,3,-0.030359298,1.949725699,-0.029788055,0.29937744,9.907896,1413158308.2960,-24.899994,-11.099991,-44.699997,-7.29E-05
71,38.06266033,-78.48847243,110,3,-0.030039356,1.980767965,0.024848327,0.3215314,9.818233,1413158310.3070,-24,-11.699997,-45,-0.004594338
72,38.06257039,-78.49114549,110,3,-0.0352865,1.997162819,0.006735993,0.30461654,9.798474,1413158312.3220,-24.899994,-12.899994,-44.399994,0.000784098
73,38.13970423,-78.44993998,110,3,-0.04229407,1.947617221,0.007933502,0.41433838,9.793235,1413158314.3580,-24.899994,-11.699997,-43.5,-0.000210929
74,35.22012618,-80.94395041,110,3,-0.018649044,1.995553637,0.04670288,0.1845662,9.909992,1413158316.3680,-24.899994,-12,-44.399994,-0.004687775
75,40.69124687,-74.17951584,110,3,-0.026327699,1.972271752,0.011825409,0.19324814,9.758507,1413158318.4090,-24.899994,-12,-44.09999,0.001310577
76,40.73793783,-74.03109247,110,3,-0.036471676,1.941295958,-0.067509614,0.3740721,9.831106,1413158320.4140,-24.899994,-11.399994,-44.399994,0.006216746
77,40.73240894,-74.00055265,110,3,-0.030713702,1.945023227,-0.07574249,0.27782226,9.77183,1413158322.4260,-25.199997,-11.399994,-44.09999,0.008700371
78,40.72502282,-73.99911046,110,3,-0.030500369,1.944739032,0.000748444,0.27782226,9.870174,1413158324.4730,-25.5,-11.399994,-45,0.000955638
79,40.72852712,-73.99686813,110,3,-0.036145691,1.949220443,-0.051343232,0.34623,9.900412,1413158326.4650,-25.199997,-11.699997,-45,0.002759682
80,40.71541676,-73.99658593,110,3,-0.029461673,1.985410881,0.007185059,0.26180556,9.907746,1413158328.5120,-24.59999,-12.299988,-45,0.003810493
81,40.7164605,-73.99620295,110,3,-0.03085353,1.975196958,0.04326004,0.33425492,9.835148,1413158330.5360,-24,-11.699997,-44.399994,-0.001364018
82,40.73343771,-74.00329471,110,3,-0.03799811,1.937867951,0.04670288,0.37601808,9.831106,1413158332.5480,-24.899994,-11.699997,-44.699997,-0.004684131
83,40.73609285,-74.00414548,110,3,-0.030684534,1.969094968,-0.03742218,0.2999762,9.845925,1413158334.5740,-25.799988,-12.299988,-44.09999,0.004789049
84,40.73390924,-74.00009751,110,3,-0.022676065,1.988810039,0.121846616,0.22273682,9.831106,1413158336.6080,-25.199997,-12,-45,-0.011135547
85,40.73511243,-74.00041938,110,3,-0.03838925,1.942245531,0.05269043,0.3544629,9.832154,1413158338.6660,-24.899994,-11.399994,-44.399994,-0.000585426
86,40.74453006,-73.99465077,110,3,-0.036498307,1.959518051,0.011825409,0.3743715,9.868079,1413158340.6580,-25.5,-12,-44.399994,-0.004117481
87,40.7324394,-74.03810823,110,3,-0.032920774,1.993287969,0.047151946,0.32991394,9.832005,1413158342.7120,-24.299988,-12.299988,-44.399994,-0.004822993
88,40.77441275,-73.87258702,110,3,-0.031081917,1.965105987,0.0690065,0.32991394,9.801917,1413158344.7510,-24.899994,-11.699997,-44.09999,-0.002114453
89,40.77457811,-73.87200594,110,3,-0.018925595,1.990395379,-0.10298584,0.1845662,9.756711,1413158346.7430,-26.09999,-12.599991,-44.399994,0.005964286
90,41.98021683,-87.90656265,110,3,-0.0234083,1.97310679,-0.045954436,0.22318588,9.795032,1413158348.8010,-24.59999,-11.699997,-44.399994,0.006788222
91,41.98127563,-87.90638435,110,3,-0.03510566,1.993377972,0.046253815,0.30042526,9.755663,1413158350.8090,-24.59999,-12.299988,-44.09999,-0.003325835
92,41.97802863,-87.90367126,110,3,-0.034053557,2.057010889,-0.029488677,0.3598517,9.832005,1413158372.4530,-24.299988,-14.399994,-43.5,0.00301757
93,41.86514935,-87.62596001,160,3,-0.030641128,2.073007727,0.008681945,0.22453308,9.792037,1413158374.5100,-24.59999,-15,-43.5,-0.002386595
94,41.87445068,-87.62569256,160,3,-0.040265724,2.083702326,0.16211289,0.3847,9.81015,1413158376.5430,-24.299988,-15,-44.09999,-0.016448463
95,41.88948129,-87.62471348,160,3,-0.031633363,2.070643187,0.09355545,0.29413834,9.856403,1413158378.5480,-24.299988,-14.699997,-42.899994,-0.009123753
96,41.89089696,-87.62800455,160,3,-0.029863348,2.046941996,0.060623933,0.3159929,9.84817,1413158380.6140,-25.199997,-14.399994,-44.399994,-0.000910322
97,41.89182811,-87.62725587,160,3,-0.037555268,2.075549412,0.085023195,0.37526962,9.830807,1413158382.6370,-23.399994,-14.399994,-44.399994,-0.008666013
98,41.87454602,-87.62042999,160,3,-0.041937155,2.054541779,0.046253815,0.41388932,9.793235,1413158384.6820,-24.59999,-14.699997,-44.399994,-0.004423326
99,41.87580025,-87.61897087,160,3,-0.033283817,2.061945009,-0.021405486,0.3080594,9.801767,1413158386.6960,-24.899994,-14.699997,-43.5,0.001279827
100,41.8654847,-87.61699675,160,3,-0.03381774,1.961335874,-0.02814148,0.3028203,9.793235,1413158388.7630,-25.5,-12,-43.5,0.001381762
101,41.862338,-87.61669099,160,3,-0.032036431,2.006347322,0.04670288,0.30117372,9.795032,1413158390.8460,-24.59999,-12.599991,-44.09999,-0.004693906
102,41.8578565,-87.6219964,160,3,-0.037279029,1.909448457,-0.029638367,0.37526962,9.906999,1413158392.8810,-25.799988,-10.799988,-44.699997,0.002655191
103,41.8500797,-87.616117,160,3,-0.032126423,1.913700962,0.006735993,0.30117372,9.866432,1413158394.9310,-26.09999,-10.799988,-45.59999,0.000782498
104,41.88754842,-87.62143409,160,3,-0.030727038,1.930738997,-0.08981323,0.2998265,9.870174,1413158396.9710,-24.899994,-10.799988,-44.399994,0.007306749
105,41.8884176,-87.62141705,160,3,-0.043319872,1.929205441,0.016914826,0.43649232,9.77183,1413158399.0410,-24.59999,-11.099991,-44.09999,-0.0022648
106,41.89476641,-87.62384713,160,3,-0.034791535,1.945921588,0.008681945,0.34623,9.832005,1413158400.9850,-24.59999,-11.099991,-44.399994,0.002102004
107,41.88260793,-87.62336968,160,3,-0.032209597,1.9232337,0.006586304,0.3359015,9.904603,1413158403.0470,-24.899994,-10.799988,-44.399994,0.002477787
108,41.8892916,-87.62476444,160,3,-0.028948891,1.934804058,-0.081580356,0.24803421,9.84832,1413158405.0780,-25.5,-11.099991,-45,0.00463163
109,41.89089696,-87.62801528,160,3,-0.024400517,1.94993608,-0.067509614,0.22378464,9.755663,1413158407.1130,-24.899994,-11.099991,-44.09999,0.005911423
110,41.89030051,-87.62601435,160,3,-0.033897284,1.913050771,-0.02469864,0.30296996,9.864636,1413158409.1180,-25.5,-10.5,-43.799988,-0.001693804
111,41.89089696,-87.62800455,160,3,-0.030733488,1.937594438,0.041463777,0.29937744,9.80027,1413158411.1440,-25.5,-10.799988,-44.399994,-0.000132754
112,41.89127,-87.62949,160,3,-0.033931866,1.933431602,-0.0597258,0.38185593,9.875713,1413158413.1580,-24.299988,-10.799988,-44.09999,0.004886789
113,41.97802863,-87.90367126,160,3,-0.035945546,1.958010483,0.0690065,0.36823425,9.908645,1413158415.1710,-24.899994,-11.699997,-45,-0.004529007
114,40.77441275,-73.87258702,160,3,-0.032838395,2.025331831,-0.08966354,0.3161426,9.870324,1413159072.7250,-22.799988,-12.899994,-44.399994,0.005117971
115,40.77638178,-73.87279987,160,3,-0.038024167,2.036643934,0.024848327,0.37646714,9.878557,1413159074.7410,-23.09999,-13.199997,-44.09999,-0.004657006
116,40.77457811,-73.87200594,160,3,-0.041818419,2.017386675,0.08427475,0.41433838,9.907746,1413159076.7460,-24,-13.199997,-44.399994,-0.007891425
117,40.7164605,-73.99620295,160,3,-0.022756546,2.063518906,-0.18291962,0.22273682,9.907448,1413159078.7790,-23.09999,-13.799988,-44.09999,0.016967054
118,40.71541676,-73.99658593,160,3,-0.033866412,2.039965391,-0.07574249,0.3079097,9.878258,1413159080.7920,-22.799988,-13.199997,-44.09999,0.010407232
119,40.73669769,-74.02935505,160,3,-0.033807386,1.997086406,-0.068258055,0.33769774,9.984837,1413159082.7650,-23.399994,-12.299988,-45.299988,0.006836065
120,40.73858887,-74.03040322,160,3,-0.031243989,2.038443327,0.008382568,0.26210496,9.832304,1413159084.8830,-23.09999,-13.199997,-43.5,-0.000922675
121,40.80593703,-74.01870848,160,3,-0.038229364,1.983877325,-0.10627899,0.37601808,9.831855,1413159086.7840,-23.699997,-12.299988,-44.699997,0.010464845
122,40.8125954,-74.01333533,160,3,-0.026642808,2.039973545,-0.068258055,0.2613565,9.9081955,1413159088.9430,-23.399994,-13.199997,-44.399994,0.006882898
123,40.80007567,-74.007626,160,3,-0.031972283,2.028084803,0.04326004,0.30117372,9.904753,1413159090.9570,-23.399994,-12.899994,-44.09999,-0.001432973
124,40.80346356,-74.00043011,160,3,-0.032697964,1.981988764,-0.064665526,0.3359015,9.829908,1413159092.9780,-24,-12,-44.699997,0.003635256
125,40.73511243,-74.00041938,160,3,-0.030675643,2.008264589,-0.068258055,0.2996768,9.870624,1413159095.0030,-23.699997,-12.599991,-44.699997,0.006892514
126,40.73444377,-73.99956644,160,3,-0.02963172,2.025427866,-0.033380583,0.26464966,9.9081955,1413159097.0330,-23.399994,-12.899994,-44.699997,0.006324049
127,40.73390924,-74.00009751,160,3,-0.034290501,2.034557581,-0.021255799,0.3381468,9.840237,1413159104.3770,-23.399994,-13.199997,-42.899994,0.000883537
128,40.74972172,-73.86295988,160,3,-0.031683008,2.05524807,-0.021106109,0.34608033,9.84832,1413159106.3830,-23.09999,-13.799988,-45,-0.00211118
129,40.747525,-73.849193,160,3,-0.037891413,2.034457016,0.04326004,0.37601808,9.875264,1413159113.7650,-23.699997,-13.5,-44.09999,-0.001429028
130,40.75816898,-73.84555787,160,3,-0.030255195,2.046571445,0.045056306,0.29937744,9.871672,1413159115.8170,-23.09999,-13.199997,-45,-0.003089013
131,40.75487035,-73.84518164,160,3,-0.037749153,2.025084209,0.04550537,0.375569,9.869427,1413159164.5010,-23.09999,-12.899994,-44.699997,-0.003677101
132,38.27424676,-76.4361012,160,3,-0.033319458,2.017443752,-0.007634125,0.37616774,9.884246,1413159167.3260,-23.699997,-12.899994,-44.09999,0.003196416
133,38.27424676,-76.4361012,160,3,-0.036523114,2.113171148,-0.1115181,0.37631744,9.870474,1413159170.6520,-21,-14.699997,-44.699997,0.008108022
134,38.26869607,-76.45874977,160,3,-0.038588525,2.030533838,-0.02814148,0.41089553,9.871672,1413159172.7000,-23.09999,-13.199997,-44.699997,0.001341782
135,42.21529652,-83.35533142,160,3,-0.040892585,2.038843441,-0.068258055,0.41314086,9.870174,1413159174.6910,-22.799988,-13.5,-44.399994,0.00688897
136,42.70260709,-83.29960585,160,3,-0.031860585,2.078791761,0.006586304,0.30117372,9.9081955,1413159212.6080,-22.199997,-13.799988,-44.399994,0.000809817
137,42.7028064,-83.29503005,160,3,-0.04148854,2.034595251,-0.029937744,0.41433838,9.943073,1413159214.6890,-23.09999,-13.5,-44.699997,0.003020058
138,43.08694957,-79.0648405,160,3,-0.04004363,2.002632952,0.045954436,0.41388932,9.945767,1413159220.8880,-23.399994,-12.299988,-45.299988,-0.001704776
139,43.08213585,-79.07097815,160,3,-0.0417595,2.060193586,0.04670288,0.41388932,9.831855,1413159222.9040,-22.5,-13.799988,-45.899994,-0.004760675
140,43.0815567,-79.06507605,160,3,-0.498254752,0.829822731,-2.8870463,4.586163,7.9429326,1413159234.0470,0.59999084,-8.399994,-49.199997,0.354140455
141,43.08349572,-79.05880813,160,3,0.325913286,1.350555491,-7.8597054,-4.934788,14.247522,1413159236.0660,-2.399994,18.299988,-44.399994,0.514806437
142,43.08658379,-79.06804078,90,3,0.985340762,0.957604837,-4.9118857,-8.230784,1.9625688,1413159238.1480,9.899994,43.199997,-19.5,1.217769289
143,42.659365,-83.0334767,90,3,1.00024426,-0.69990387,-4.9346385,-7.521858,-0.24908203,1413159243.4320,3.899994,40.199997,15.299988,1.640099549
144,40.78622803,-111.9822264,160,3,0.906356633,1.943261623,-5.749244,-7.8679385,-1.9851718,1413159245.4780,24.59999,31.799988,7.199997,1.9163831
145,41.486473,-112.0284049,160,3,1.110313463,2.571380901,-3.5786083,-8.7282,2.0782783,1413159247.4540,21.299988,25.199997,-21.899994,1.086708379
146,41.51005655,-112.017679,90,3,1.380210924,1.2407336,-2.2013223,-9.815688,0.56208116,1413159249.4990,-12,35.09999,-19.5,1.099431729
147,41.5013299,-111.9427013,160,3,0.90380528,0.716768944,-6.79961,-8.129295,-0.26854157,1413159251.5500,5.699997,37.799988,-16.199997,1.534576774
148,42.5176533,-82.90901938,90,3,1.004302347,-0.964705265,-2.560725,-7.877818,4.443809,1413159269.8360,29.699997,43.199997,15.599991,0.482162011
149,42.53286009,-82.91151166,90,3,-0.026223257,-1.256810474,-3.8005967,-0.22198838,11.516003,1413159271.8520,27.899994,4.199997,-43.199997,0.302027208
150,42.53154355,-82.91381173,90,3,-0.171968207,-0.531149173,-4.9403267,1.5661931,8.030051,1413159273.8880,37.199997,12,-36,0.570983565
151,42.53166628,-82.91498244,160,3,-0.029657964,-0.988357723,-3.705245,0.3080594,12.461137,1413159275.9010,35.699997,13.799988,-39,0.289514768
152,42.52668103,-82.94543707,90,3,-0.087283222,-0.481038713,4.1905355,0.76461,8.805738,1413159277.9450,-15.299988,10.5,-50.09999,-0.437801993
153,42.51018759,-82.92674661,160,3,-0.265588337,-0.886874044,-2.0962408,2.7177484,9.907746,1413159279.9790,27.299988,0.8999939,-45.899994,0.206090912
154,42.32357092,-83.0846107,90,3,-0.189927959,-2.025848436,4.7229786,2.14953,9.445508,1413159282.0420,0.8999939,-21,-51,-0.494447386
155,42.32355053,-83.08434738,160,3,-0.032689049,-1.804164505,0.19998413,0.33724868,9.869876,1413159284.0760,28.199997,-8.399994,-49.5,-0.020192594
156,42.32343687,-83.08499426,90,3,-0.030129264,-1.81422534,0.1181044,0.32168105,9.84817,1413159286.0910,28.199997,-8.699997,-49.799988,-0.016679914
157,42.32321557,-83.08478023,90,3,-0.032265311,-1.809203839,0.16690293,0.3359015,9.981394,1413159288.1190,28.199997,-8.699997,-49.799988,-0.021178742
158,42.32392471,-83.08321595,160,3,-0.032558509,-1.801091862,0.2348616,0.3359015,9.835148,1413159290.1210,27.899994,-8.399994,-50.09999,-0.020862947
159,42.62623285,-82.99676337,160,3,-0.035093209,-1.7881423,0.16525635,0.30461654,9.873319,1413159292.1660,27.59999,-8.099991,-51.299988,-0.019624418
160,42.26958097,-83.50230052,90,3,-0.02825732,-1.822454548,0.25252488,0.31374756,9.908645,1413159294.2290,27.299988,-8.699997,-50.09999,-0.021957551
161,42.26988682,-83.50298072,90,3,-0.034831118,-1.791829586,0.123642884,0.37526962,9.945767,1413159296.2560,28.799988,-8.399994,-49.799988,-0.013939345
162,42.24062327,-83.76058954,90,3,-0.189927959,-2.025848436,4.7229786,2.14953,9.445508,1413159282.0420,0.8999939,-21,-51,-0.494447386
163,42.27948875,-83.73652343,160,3,-0.032689049,-1.804164505,0.19998413,0.33724868,9.869876,1413159284.0760,28.199997,-8.399994,-49.5,-0.020192594
164,42.27509397,-83.74151587,90,3,-0.030129264,-1.81422534,0.1181044,0.32168105,9.84817,1413159286.0910,28.199997,-8.699997,-49.799988,-0.016679914
165,42.27481612,-83.73474598,90,3,-0.032265311,-1.809203839,0.16690293,0.3359015,9.981394,1413159288.1190,28.199997,-8.699997,-49.799988,-0.021178742
166,42.26581315,-83.74869347,160,3,-0.032558509,-1.801091862,0.2348616,0.3359015,9.835148,1413159290.1210,27.899994,-8.399994,-50.09999,-0.020862947
167,42.2665376,-83.74256623,160,3,-0.035093209,-1.7881423,0.16525635,0.30461654,9.873319,1413159292.1660,27.59999,-8.099991,-51.299988,-0.019624418
168,42.28088682,-83.74858742,90,3,-0.02825732,-1.822454548,0.25252488,0.31374756,9.908645,1413159294.2290,27.299988,-8.699997,-50.09999,-0.021957551
169,42.37738335,-83.48688441,90,3,-0.034831118,-1.791829586,0.123642884,0.37526962,9.945767,1413159296.2560,28.799988,-8.399994,-49.799988,-0.013939345
170,42.48495528,-83.47087026,160,3,-0.031821034,-1.795932913,0.0477507,0.2996768,9.907746,1413159298.3170,28.199997,-8.699997,-49.5,-0.009588475
171,42.54551513,-83.21382124,90,3,-0.036867281,-1.81844101,0.27617568,0.37482056,9.9081955,1413159300.3320,28.199997,-9.299988,-50.09999,-0.027569868
172,42.54763402,-83.2158353,90,3,-0.035114759,-1.801500583,0.23830444,0.33949402,9.906549,1413159302.3300,29.09999,-9,-50.399994,-0.023429662
